,Name of movie,Year of relase,Watchtime,Movie Rating,Metascore,Votes,Gross collection,Description,Director,Star
49,Alex & Emma,2003,96,5.5,32,"13,622",$14.21M,A writer must turn out a novel in thirty days or face the wrath of loan sharks.,Rob Reiner,"['Luke Wilson', 'Kate Hudson', 'David Paymer', 'Sophie Marceau']"
0,The Abandoned,2006,99,5.5,42,"13,040",$1.26M,An adopted woman returns to her home country and the family home that she never knew and must face the mystery that lies there.,Nacho Cerdà,"['Anastasia Hille', 'Karel Roden', 'Valentin Goshev', 'Valentin Ganev']"
1,100 Feet,2008,96,5.5,^^^^^^,"12,784",*****,"After Marnie Watson kills her abusive husband in self-defense, she is condemned to house arrest... only to discover that the house is possessed by the enraged and violent spirit of her dead husband.",Eric Red,"['Famke Janssen', 'Bobby Cannavale', 'Ed Westwick', 'Michael Paré']"
2,Play It to the Bone,1999,124,5.5,32,"12,100",$8.43M,Two best friends and former middleweight contenders travel to Las Vegas to fight each other for the first time.,Ron Shelton,"['Woody Harrelson', 'Antonio Banderas', 'Lolita Davidovich', 'Marie Park']"
3,5 Days of War,2011,113,5.5,31,"14,042",$0.02M,"A drama set centered around the war between Russia and Georgia, and focused on an American journalist, his cameraman, and a Georgian native who become caught in the crossfire.",Renny Harlin,"['Rupert Friend', 'Emmanuelle Chriqui', 'Richard Coyle', 'Heather Graham']"
4,The Shrine,2010,85,5.5,^^^^^^,"13,878",*****,"Two female journalists and a photographer travel to Europe to investigate a series of mysterious disappearances, only to find themselves embroiled in a struggle against a kind of evil they never expected.",Jon Knautz,"['Aaron Ashmore', 'Cindy Sampson', 'Meghan Heffern', 'Trevor Matthews']"
5,American Dreamz,2006,107,5.5,45,"24,916",$7.19M,"The new season of ""American Dreamz,"" the wildly popular television singing contest, has captured the country's attention, as the competition looks to be between a young Midwestern gal (Moore) and a showtunes-loving young man from Orange County (Golzari). Recently awakened President Staton (Quaid) even wants in on the craze, as he signs up for the potential explosive season finale.",Paul Weitz,"['Hugh Grant', 'Dennis Quaid', 'Mandy Moore', 'Willem Dafoe']"
6,My Little Eye,2002,95,5.5,^^^^^^,"12,252",*****,"Five people are offered one million dollars to spend six months together in an isolated mansion, with cameras watching their every move.",Marc Evans,"['Sean Cw Johnson', 'Kris Lemche', ""Stephen O'Reilly"", 'Laura Regan']"
7,Naomi and Ely's No Kiss List,2015,89,5.5,^^^^^^,"10,387",*****,"Naomi and Ely have loved each other their whole lives, even though Ely isn't exactly into girls. The institution of a ""No Kiss List"" has prevented the two from rifts in the past, but bonds are tested when they both fall for the same guy.",Kristin Hanggi,"['Victoria Justice', 'Pierson Fode', 'Matthew Daddario', 'Ryan Ward']"
8,Simmba,2018,158,5.5,^^^^^^,"23,525",$5.08M,"Simmba, a Corrupt Officer, enjoys all the perks of being an immoral and unethical police officer until a life-changing event forces him to choose the righteous path.",Rohit Shetty,"['Ranveer Singh', 'Sara Ali Khan', 'Sonu Sood', 'Ashutosh Rana']"
9,Gunjan Saxena: The Kargil Girl,2020,112,5.5,^^^^^^,"35,012",*****,Inspired by the life of a fearless young officer who made history by becoming the first Indian female Air Force officer to fly in a combat zone during the 1999 Kargil War,"Directors:ALi Khan AK, Sharan Sharma","['Janhvi Kapoor', 'Pankaj Tripathi', 'Angad Bedi', 'Manav Vij']"
10,The Deaths of Ian Stone,2007,87,5.5,^^^^^^,"13,455",*****,"An all-American guy is murdered each day by horrifying pursuers, only to wake up in slightly different lives to experience the terror of being murdered again.",Dario Piana,"['Mike Vogel', 'Jaime Murray', 'Christina Cole', 'Michael Feast']"
11,Jennifer's Body,2009,102,5.4,47,"138,235",$16.20M,A newly-possessed high-school cheerleader turns into a succubus who specializes in killing her male classmates. Can her best friend put an end to the horror?,Karyn Kusama,"['Megan Fox', 'Amanda Seyfried', 'Adam Brody', 'Johnny Simmons']"
12,Spiderhead,2022,106,5.4,54,"58,471",*****,"In the near future, convicts are offered the chance to volunteer as medical subjects to shorten their sentence. One such subject for a new drug capable of generating feelings of love begins questioning the reality of his emotions.",Joseph Kosinski,"['Chris Hemsworth', 'Miles Teller', 'Jurnee Smollett', 'Mark Paguio']"
13,Deep Water,I 2022,115,5.4,53,"47,807",*****,A well-to-do husband who allows his wife to have affairs in order to avoid a divorce becomes a prime suspect in the disappearance of her lovers.,Adrian Lyne,"['Ben Affleck', 'Ana de Armas', 'Tracy Letts', 'Grace Jenkins']"
14,Wonder Woman 1984,2020,151,5.4,60,"271,420",$46.37M,"Diana must contend with a work colleague, and with a businessman whose desire for extreme wealth sends the world down a path of destruction, after an ancient artifact that grants wishes goes missing.",Patty Jenkins,"['Gal Gadot', 'Chris Pine', 'Kristen Wiig', 'Pedro Pascal']"
15,Infinite,2021,106,5.4,28,"52,475",*****,A man discovers that his hallucinations are actually visions from past lives.,Antoine Fuqua,"['Mark Wahlberg', 'Chiwetel Ejiofor', 'Sophie Cookson', ""Dylan O'Brien""]"
16,The Dead Don't Die,2019,104,5.4,53,"80,191",$6.56M,The peaceful town of Centerville finds itself battling a zombie horde as the dead start rising from their graves.,Jim Jarmusch,"['Bill Murray', 'Adam Driver', 'Tom Waits', 'Chloë Sevigny']"
17,The Mummy,2017,110,5.4,34,"193,011",$80.10M,"An ancient Egyptian princess is awakened from her crypt beneath the desert, bringing with her malevolence grown over millennia, and terrors that defy human comprehension.",Alex Kurtzman,"['Tom Cruise', 'Sofia Boutella', 'Annabelle Wallis', 'Russell Crowe']"
18,Snake Eyes: G.I. Joe Origins,2021,121,5.4,43,"39,789",*****,A G.I. Joe spin-off centered around the character of Snake Eyes.,Robert Schwentke,"['Henry Golding', 'Andrew Koji', 'Haruka Abe', 'Takehiro Hira']"
19,Batman Forever,1995,121,5.4,51,"255,862",$184.03M,"Batman must battle former district attorney Harvey Dent, who is now Two-Face and Edward Nygma, The Riddler with help from an amorous psychologist and a young circus acrobat who becomes his sidekick, Robin.",Joel Schumacher,"['Val Kilmer', 'Tommy Lee Jones', 'Jim Carrey', 'Nicole Kidman']"
20,Gods of Egypt,2016,127,5.4,25,"119,112",$31.15M,"Mortal hero Bek teams with the god Horus in an alliance against Set, the merciless god of darkness, who has usurped Egypt's throne, plunging the once peaceful and prosperous empire into chaos and conflict.",Alex Proyas,"['Brenton Thwaites', 'Nikolaj Coster-Waldau', 'Gerard Butler', 'Chadwick Boseman']"
21,Ava,IV 2020,96,5.4,39,"57,476",$0.50M,"Ava is a deadly assassin who works for a black ops organization, traveling the globe specializing in high profile hits. When a job goes dangerously wrong she is forced to fight for her own survival.",Tate Taylor,"['Jessica Chastain', 'John Malkovich', 'Common', 'Geena Davis']"
22,House of Wax,2005,113,5.4,41,"126,928",$32.06M,A group of teens are unwittingly stranded near a strange wax museum and soon must fight to survive and keep from becoming the next exhibit.,Jaume Collet-Serra,"['Chad Michael Murray', 'Paris Hilton', 'Elisha Cuthbert', 'Brian Van Holt']"
23,A través de mi ventana,2022,116,5.4,^^^^^^,"11,500",*****,"Raquel's longtime crush on her next-door neighbor turns into something more when he starts developing feelings for her, despite his family's objections.",Marçal Forés,"['Clara Galle', 'Julio Peña', 'Guillermo Lasheras', 'Natalia Azahara']"
24,Serenity,I 2019,106,5.4,37,"42,262",$8.55M,A fishing boat captain juggles facing his mysterious past and finding himself ensnared in a reality where nothing is what it seems.,Steven Knight,"['Matthew McConaughey', 'Anne Hathaway', 'Diane Lane', 'Jason Clarke']"
25,Tides,2021,104,5.4,52,"10,047",*****,"Set in the distant future, a female astronaut, shipwrecked on the long-decimated Earth, must decide the fate of the wasteland's remaining populace.",Tim Fehlbaum,"['Nora Arnezeder', 'Iain Glen', 'Sarah-Sofie Boussnina', 'Sope Dirisu']"
26,Annabelle,I 2014,99,5.4,37,"162,398",$84.27M,A couple begins to experience terrifying supernatural occurrences involving a vintage doll shortly after their home is invaded by satanic cultists.,John R. Leonetti,"['Ward Horton', 'Annabelle Wallis', 'Alfre Woodard', 'Tony Amendola']"
27,Love in the Villa,2022,114,5.4,50,"10,523",*****,"A young woman takes a trip to romantic Verona, Italy, after a breakup, only to find that the villa she reserved was double-booked, and she'll have to share her vacation with a cynical British man.",Mark Steven Johnson,"['Kat Graham', 'Tom Hopper', 'Raymond Ablack', 'Laura Hopper']"
28,Æon Flux,2005,93,5.4,36,"129,783",$25.86M,"Æon Flux is a mysterious assassin working for the Monicans, a group of rebels trying to overthrow the government. When she is sent on a mission to kill the Chairman, a whole new mystery is found.",Karyn Kusama,"['Charlize Theron', 'Frances McDormand', 'Sophie Okonedo', 'Marton Csokas']"
29,Gold,I 2022,97,5.4,48,"10,182",*****,"In the not too distant future, a drifter (Zac Efron) travelling through the desert discovers the largest gold nugget ever found. He must guard it from thieves amid harsh conditions and wild dogs while waiting for his partner to return.",Anthony Hayes,"['Zac Efron', 'Akuol Ngot', 'Thiik Biar', 'Andreas Sobik']"
30,Voyagers,2021,108,5.4,44,"22,596",*****,"A crew of astronauts on a multi-generational mission descend into paranoia and madness, not knowing what is real or not.",Neil Burger,"['Colin Farrell', 'Tye Sheridan', 'Lily-Rose Depp', 'Fionn Whitehead']"
31,Aloha,I 2015,105,5.4,40,"67,874",$20.99M,A celebrated military contractor returns to the site of his greatest career triumphs and reconnects with a long-ago love while unexpectedly falling for the hard-charging Air Force watchdog assigned to him.,Cameron Crowe,"['Bradley Cooper', 'Rachel McAdams', 'Emma Stone', 'Alec Baldwin']"
32,Killers,2010,100,5.4,21,"92,947",$47.06M,"A vacationing woman meets her ideal man, leading to a swift marriage. Back at home, however, their idyllic life is upset when they discover their neighbors could be assassins who have been contracted to kill the couple.",Robert Luketic,"['Katherine Heigl', 'Ashton Kutcher', 'Tom Selleck', ""Catherine O'Hara""]"
33,You Should Have Left,2020,93,5.4,46,"22,439",*****,"A former banker, his actress wife, and their spirited daughter book a vacation at an isolated modern home in the Welsh countryside where nothing is quite as it seems.",David Koepp,"['Kevin Bacon', 'Amanda Seyfried', 'Avery Tiiu Essex', 'Colin Blumenau']"
34,"Game Over, Man!",2018,101,5.4,32,"31,251",*****,Three friends are on the verge of getting their video game financed when their benefactor is taken hostage by terrorists.,Kyle Newacheck,"['Adam Devine', 'Anders Holm', 'Blake Anderson', 'Chloe Bridges']"
35,The Hustle,I 2019,93,5.4,35,"61,229",$35.42M,Two con women - one low rent and the other high class - team up to take down the men who have wronged them.,Chris Addison,"['Anne Hathaway', 'Rebel Wilson', 'Alex Sharp', 'Tim Blake Nelson']"
36,Countdown,III 2019,90,5.4,31,"39,944",*****,"When a nurse downloads an app that claims to predict the moment a person will die, it tells her she only has three days to live. With the clock ticking and a figure haunting her, she must find a way to save her life before time runs out.",Justin Dec,"['Elizabeth Lail', 'Jordan Calloway', 'Talitha Eliana Bateman', 'Peter Facinelli']"
37,Vampire Academy,2014,104,5.4,31,"55,472",$7.79M,"Rose Hathaway is a Dhampir, half human-half vampire, a guardian of the Moroi, peaceful, mortal vampires living discreetly within our world. Her calling is to protect the Moroi from bloodthirsty, immortal Vampires, the Strigoi.",Mark Waters,"['Zoey Deutch', 'Lucy Fry', 'Danila Kozlovskiy', 'Gabriel Byrne']"
38,A Nightmare on Elm Street Part 2: Freddy's Revenge,1985,87,5.4,43,"71,865",$30.00M,"A teenage boy is haunted in his dreams by deceased child murderer Freddy Krueger, who is out to possess him in order to continue his reign of terror in the real world.",Jack Sholder,"['Robert Englund', 'Mark Patton', 'Kim Myers', 'Robert Rusler']"
39,Superintelligence,2020,106,5.4,41,"11,340",*****,"When an all-powerful Superintelligence chooses to study average Carol Peters, the fate of the world hangs in the balance. As the A.I. decides to enslave, save or destroy humanity, it's up to Carol to prove that people are worth saving.",Ben Falcone,"['Melissa McCarthy', 'James Corden', 'Bobby Cannavale', 'Brian Tyree Henry']"
40,Teeth,I 2007,94,5.4,57,"44,507",$0.35M,"Still a stranger to her own body, a high school student discovers she has a physical advantage when she becomes the object of male violence.",Mitchell Lichtenstein,"['Jess Weixler', 'John Hensley', 'Josh Pais', 'Hale Appleman']"
41,The Forever Purge,2021,103,5.4,53,"35,400",$44.54M,All the rules are broken as a sect of lawless marauders decides that the annual Purge does not stop at daybreak and instead should never end.,Everardo Gout,"['Ana de la Reguera', 'Tenoch Huerta', 'Josh Lucas', 'Leven Rambin']"
42,Evan Almighty,2007,96,5.4,37,"149,566",$100.46M,God contacts Congressman Evan Baxter and tells him to build an ark in preparation for a great flood.,Tom Shadyac,"['Steve Carell', 'Morgan Freeman', 'Lauren Graham', 'Johnny Simmons']"
43,Replicas,2018,107,5.4,19,"39,429",$4.05M,A scientist becomes obsessed with bringing back his family members who died in a traffic accident.,Jeffrey Nachmanoff,"['Keanu Reeves', 'Alice Eve', 'Thomas Middleditch', 'John Ortiz']"
44,The Addams Family 2,2021,93,5.4,37,"13,453",*****,"The Addams get tangled up in more wacky adventures and find themselves involved in hilarious run-ins with all sorts of unsuspecting characters. Sequel to the 2019 animated film, 'The Addams Family'.","Directors:Greg Tiernan, Conrad Vernon, Laura Brousseau, Kevin Pavlovic","['Oscar Isaac', 'Charlize Theron', 'Chloë Grace Moretz', ""Javon 'Wanna' Walton""]"
45,Earth Girls Are Easy,1988,100,5.4,66,"23,885",$3.92M,A Southern California girl befriends three furry aliens after their spaceship lands in her swimming pool.,Julien Temple,"['Geena Davis', 'Jeff Goldblum', 'Jim Carrey', 'Damon Wayans']"
46,Coneheads,1993,88,5.4,49,"55,374",$21.27M,Aliens with conical crania crash-land on Earth.,Steve Barron,"['Dan Aykroyd', 'Jane Curtin', 'Robert Knott', 'Jonathan Penner']"
47,The Lawnmower Man,1992,108,5.4,42,"36,905",$32.10M,A simple man is turned into a genius through the application of computer science.,Brett Leonard,"['Jeff Fahey', 'Pierce Brosnan', 'Jenny Wright', 'Mark Bringelson']"
48,In the Cut,2003,119,5.4,46,"24,900",$4.75M,"New York City writing professor, Frannie Avery, has an affair with a police detective who is investigating the murder of a beautiful young woman in her neighborhood.",Jane Campion,"['Meg Ryan', 'Mark Ruffalo', 'Jennifer Jason Leigh', 'Michael Nuccio']"
49,Doctor Dolittle,1998,85,5.4,46,"98,397",$144.16M,A doctor discovers that he can communicate with animals.,Betty Thomas,"['Eddie Murphy', 'Peter Boyle', 'Ossie Davis', 'Oliver Platt']"
0,The Happytime Murders,2018,91,5.4,27,"28,918",$20.71M,"When the puppet cast of a '90s children's TV show begin to get murdered one by one, a disgraced LAPD detective-turned-private eye puppet takes on the case.",Brian Henson,"['Melissa McCarthy', 'Elizabeth Banks', 'Maya Rudolph', 'Leslie David Baker']"
1,The Deep House,2021,85,5.4,^^^^^^,"11,526",*****,A young and modern couple who go to France to explore an underwater house and share their findings on social media undergoes a serious change of plans when the couple enters the interior of...                See full summary »,"Directors:Alexandre Bustillo, Julien Maury","['Camille Rowe', 'James Jagger', 'Eric Savin', 'Alexis Servaes']"
